user_id,login_time_hour,login_location_risk,failed_logins,files_accessed,data_download_mb,usb_usage,anomaly_label,predicted_anomaly
1,1,0.72,11,308,1405,1,1,1
2,10,0.02,0,16,143,0,0,0
3,19,0.13,0,31,160,0,0,0
4,17,0.21,1,44,196,0,0,0
5,14,0.02,1,6,100,1,0,0
6,19,0.27,2,17,107,0,0,0
7,11,0.13,1,36,129,0,0,0
8,13,0.07,2,35,55,0,0,0
9,16,0.03,2,20,47,0,0,0
10,4,0.87,15,333,538,1,1,0
11,13,0.28,1,36,109,0,0,0
12,0,0.72,6,355,1616,1,1,1
13,17,0.16,0,15,199,0,0,0
14,14,0.2,1,14,44,0,0,0
15,11,0.13,0,19,156,0,0,0
16,10,0.22,0,21,39,1,0,0
17,14,0.01,2,44,87,0,0,0
18,14,0.17,2,22,93,1,0,0
19,9,0.05,0,13,122,0,0,0
20,12,0.04,0,29,34,0,0,0
21,11,0.1,0,44,177,0,0,0
22,8,0.03,1,18,97,0,0,0
23,14,0.03,1,29,23,0,0,0
24,3,0.71,19,215,1282,1,1,1
25,12,0.29,1,34,111,0,0,0
26,8,0.05,1,24,159,1,0,0
27,4,0.91,16,417,1607,1,1,1
28,11,0.23,1,48,92,0,0,0
29,7,0.24,1,36,119,0,0,0
30,18,0.1,0,25,188,0,0,0
31,16,0.14,0,39,140,0,0,0
32,12,0.19,1,36,179,0,0,0
33,19,0.01,4,34,28,0,0,0
34,18,0.28,1,43,37,0,0,0
35,15,0.27,1,16,182,0,0,0
36,7,0.08,0,45,80,0,0,0
37,17,0.0,1,22,72,0,0,0
38,17,0.28,0,25,82,0,0,0
39,16,0.15,2,17,133,0,0,0
40,18,0.16,3,25,128,0,0,0
41,18,0.21,3,12,130,0,0,0
42,4,0.84,12,375,882,1,1,0
43,18,0.28,0,11,184,0,0,0
44,4,0.81,6,367,1898,1,1,1
45,10,0.26,3,48,129,0,0,0
46,15,0.19,1,36,175,0,0,0
47,9,0.24,1,15,190,0,0,0
48,11,0.2,0,26,70,0,0,0
49,9,0.17,1,26,173,0,0,0
50,13,0.04,1,47,177,0,0,0
51,11,0.24,1,29,39,0,0,0
52,15,0.25,2,26,18,0,0,0
53,13,0.19,2,32,73,0,0,0
54,8,0.25,0,33,170,0,0,0
55,10,0.2,1,17,129,0,0,0
56,15,0.06,2,22,61,0,0,0
57,18,0.08,0,6,98,0,0,0
58,8,0.06,1,33,151,0,0,0
59,16,0.11,0,25,62,0,0,0
60,15,0.01,3,19,196,0,0,0
61,16,0.19,2,31,87,0,0,0
62,11,0.1,0,35,50,0,0,0
63,8,0.2,1,19,77,0,0,0
64,10,0.12,1,27,17,0,0,0
65,18,0.2,0,28,11,0,0,0
66,18,0.1,0,48,114,0,0,0
67,13,0.08,0,17,134,0,0,0
68,18,0.15,1,26,119,0,0,0
69,19,0.21,1,47,95,0,0,0
70,4,0.95,10,107,549,1,1,0
71,9,0.28,1,37,129,0,0,0
72,7,0.01,0,7,136,0,0,0
73,10,0.13,1,23,192,0,0,0
74,8,0.29,0,27,25,0,0,0
75,14,0.16,1,33,71,0,0,0
76,10,0.13,1,34,122,0,0,0
77,8,0.17,4,43,185,0,0,0
78,12,0.17,1,48,167,0,0,0
79,12,0.22,1,29,21,0,0,0
80,16,0.04,1,41,44,0,0,0
81,10,0.08,3,12,20,0,0,0
82,12,0.17,1,46,73,1,0,0
83,19,0.26,0,20,59,0,0,0
84,8,0.17,0,12,158,0,0,0
85,16,0.07,1,5,78,0,0,0
86,18,0.2,1,48,57,0,0,0
87,8,0.22,0,9,29,0,0,0
88,16,0.07,0,7,110,0,0,0
89,10,0.11,0,5,181,0,0,0
90,3,0.98,5,254,859,1,1,1
91,13,0.15,0,44,198,0,0,0
92,18,0.12,0,39,146,0,0,0
93,15,0.09,4,36,77,0,0,0
94,14,0.03,0,46,44,0,0,0
95,0,0.96,16,465,665,1,1,1
96,19,0.29,4,47,17,0,0,0
97,8,0.25,1,29,54,0,0,0
98,11,0.11,1,14,96,0,0,0
99,14,0.29,2,25,184,0,0,0
100,16,0.2,1,43,177,1,0,0
101,2,0.8,13,398,1069,1,1,0
102,18,0.15,1,31,191,1,0,0
103,18,0.02,0,6,85,0,0,0
104,18,0.03,1,45,183,0,0,0
105,19,0.18,1,17,56,0,0,0
106,15,0.17,1,13,24,0,0,0
107,19,0.06,2,40,114,0,0,0
108,19,0.28,1,26,156,1,0,0
109,7,0.23,2,46,35,1,0,0
110,15,0.03,1,30,61,0,0,0
111,13,0.28,2,16,102,0,0,0
112,15,0.29,2,21,159,1,0,0
113,14,0.3,1,18,30,0,0,0
114,7,0.02,2,18,60,0,0,0
