user_id,login_time_hour,login_location_risk,failed_logins,files_accessed,data_download_mb,usb_usage,anomaly_label
1006,14,0,0,181,387,0,0
1019,11,0,1,122,2159,0,0
1014,8,1,1,30,2662,0,1
1010,9,0,3,188,2065,0,0
1007,11,0,1,108,3852,1,1
1006,16,0,0,98,3254,0,1
1018,5,0,1,32,4980,0,1
1010,6,0,2,195,4637,0,1
1010,13,0,1,195,4267,0,1
1003,12,0,1,156,740,0,0
1007,7,0,0,172,1402,0,0
1002,9,0,1,79,3260,0,1
1001,8,0,0,41,2278,1,0
1011,17,0,1,63,3905,0,1
1005,1,0,3,23,3924,1,1
1001,4,0,0,104,4215,0,1
1000,4,0,0,75,3228,0,1
1011,5,0,2,48,2832,0,0
1011,18,0,1,160,3759,0,1
1016,7,0,3,57,2513,0,0
1009,15,1,1,118,2152,0,1
1015,12,0,1,100,3676,0,1
1014,0,0,3,124,2746,0,1
1014,21,0,2,161,3867,0,1
1018,19,1,0,152,3765,1,1
1011,16,0,0,167,2223,0,0
1019,6,0,0,34,2793,1,0
1002,12,0,0,184,1698,1,0
1004,3,0,1,156,3463,1,1
1018,3,0,2,165,4064,0,1
1006,5,1,2,7,1525,0,1
1008,18,1,2,196,4761,1,1
1006,11,0,3,165,33,0,0
1017,21,0,1,56,4026,0,1
1003,6,1,0,65,2567,0,1
1013,9,0,0,193,2804,0,0
1017,18,0,2,47,3897,0,1
1008,6,0,2,148,3710,0,1
1001,2,0,2,19,720,1,1
1019,12,0,2,157,4580,0,1
1014,12,0,3,188,973,1,0
1006,17,1,1,146,3719,0,1
1011,19,1,2,163,4403,0,1
1007,7,0,2,171,4553,0,1
1014,8,0,0,126,2208,0,0
1002,6,1,2,139,4427,1,1
1013,0,0,0,49,4321,0,1
1016,2,0,1,113,3031,0,1
1003,12,1,2,38,3576,0,1
1017,16,1,2,64,3117,0,1
1007,23,0,1,69,3286,0,1
1003,0,0,0,136,644,0,1
1001,5,0,2,162,4712,0,1
1005,20,0,1,176,195,1,0
1009,5,0,1,116,3997,0,1
1003,11,0,2,184,489,0,0
1017,12,0,0,65,2205,0,0
1011,12,0,0,31,2658,0,0
1001,14,0,1,132,3277,0,1
1009,20,0,2,113,1103,0,0
1003,15,1,2,109,1242,0,1
1013,21,0,0,178,516,1,0
1015,20,0,0,69,393,0,0
1014,10,0,2,158,631,0,0
1007,4,0,4,120,3717,0,1
1013,3,0,0,88,1848,0,1
1007,2,0,0,187,2656,0,1
1015,18,0,0,67,980,0,0
1012,19,0,2,75,4530,1,1
1017,17,0,0,45,3403,1,1
1014,14,0,2,4,3872,1,1
1012,8,1,1,154,278,0,1
1008,16,0,0,155,233,0,0
1014,13,0,2,174,1553,0,0
1012,14,0,3,107,3271,1,1
1000,0,0,1,192,2410,0,1
1006,20,0,1,51,3513,1,1
1008,21,0,0,50,26,0,0
1000,21,1,1,6,461,0,1
1011,2,0,0,59,3765,0,1
1007,15,0,2,125,3432,0,1
1010,22,0,1,143,3484,0,1
1018,10,1,1,30,1995,0,1
1016,11,0,4,170,491,0,0
1007,9,0,3,122,1073,0,0
1002,15,0,3,125,3174,0,1
1002,7,0,1,37,216,0,0
1000,5,0,1,170,1724,0,0
1004,11,1,2,124,1593,0,1
1009,23,0,3,101,2607,0,0
1006,20,0,3,35,159,0,0
1008,7,0,1,87,4782,0,1
1006,3,0,3,134,3314,0,1
1008,7,0,1,196,2842,0,0
1007,17,0,1,18,1777,0,0
1011,4,0,1,113,2053,1,1
1001,8,0,1,29,2296,0,0
1000,3,0,1,77,1697,0,1
1015,21,0,0,59,2994,0,0
1004,16,0,1,175,2470,1,0
1002,8,0,0,126,1947,0,0
1011,0,0,2,145,3810,0,1
1007,20,0,1,109,2784,1,0
1002,19,1,2,22,3645,0,1
1000,12,1,0,68,2501,1,1
1002,15,0,1,69,3646,0,1
1004,12,0,1,165,2646,1,0
1014,13,0,2,49,2350,0,0
1013,2,0,3,141,1933,0,1
1002,5,0,0,162,3295,0,1
1000,17,0,0,109,1758,0,0
1004,18,0,2,86,1117,0,0
1013,4,0,1,53,2568,1,1
1006,14,0,2,123,3500,1,1
1008,1,0,1,87,493,0,1
1014,9,0,0,179,3307,1,1
1014,23,0,1,131,620,0,0
1009,17,0,1,42,3233,0,1
1012,12,0,2,98,3824,0,1
1018,4,0,1,160,2381,0,1
1006,22,0,0,109,1547,0,0
1016,23,0,1,51,4959,0,1
1019,0,0,2,85,3564,1,1
1003,21,0,1,174,1606,0,0
1004,0,0,3,127,3753,1,1
1006,17,0,0,21,4676,0,1
1012,14,1,3,44,1891,0,1
1014,16,0,1,139,1276,0,0
1010,10,0,0,103,2744,1,0
1003,20,0,1,68,2494,0,0
1012,21,0,2,129,357,0,0
1006,16,0,0,92,870,0,0
1018,12,1,1,191,886,0,1
1001,0,0,2,24,2002,0,1
1009,1,0,0,125,1284,0,1
1012,8,0,1,141,620,0,0
1005,2,0,1,111,883,0,1
1011,0,0,2,98,797,0,1
1011,20,0,0,139,3643,0,1
1019,15,0,0,179,3426,0,1
1010,22,1,2,17,1297,0,1
1006,5,0,0,99,4715,1,1
1000,16,0,1,82,245,0,0
1000,4,0,2,104,2896,0,1
1019,4,0,1,152,930,0,1
1012,5,0,2,19,520,0,0
1008,2,0,1,165,3213,0,1
1002,20,0,0,85,2410,0,0
1006,22,0,2,8,8,0,0
1005,4,0,0,28,2526,1,1
1007,20,0,0,5,3424,0,1
1008,4,0,1,145,2020,0,1
1004,9,1,1,101,4591,0,1
1000,9,0,1,164,4283,0,1
1018,18,0,1,118,3668,0,1
1009,16,1,1,147,3672,0,1
1011,20,0,3,64,2802,0,0
1014,13,1,1,91,86,0,1
1008,8,0,3,117,3116,0,1
1019,13,0,2,98,4233,0,1
1016,0,0,2,11,2469,0,1
1016,18,0,1,54,3620,0,1
1019,12,0,1,173,1637,1,0
1011,12,0,2,47,3584,0,1
1006,3,0,3,140,4010,0,1
1001,0,0,1,149,3327,1,1
1002,16,0,4,139,2219,0,0
1016,7,1,1,5,2218,0,1
1004,1,0,1,184,4968,0,1
1016,7,0,3,20,2370,0,0
1016,6,0,1,169,3639,0,1
1016,1,0,1,46,2504,0,1
1001,21,1,2,12,944,0,1
1001,21,0,1,70,2838,0,0
1004,2,0,2,17,2661,1,1
1000,17,0,3,115,2937,0,0
1000,11,0,1,147,4445,0,1
1018,0,0,2,154,3948,1,1
1001,21,0,3,48,1677,0,0
1011,11,0,0,108,1197,1,0
1005,4,0,1,52,4106,0,1
1003,16,0,1,96,2788,0,0
1010,15,1,3,70,1462,0,1
1016,14,1,3,183,3319,0,1
1005,22,0,1,102,667,0,0
1004,14,0,1,75,2177,1,0
1019,4,0,0,161,3744,0,1
1001,20,0,1,190,601,0,0
1005,13,1,0,151,2653,1,1
1010,1,0,0,143,4423,0,1
1015,10,0,3,155,3825,0,1
1015,18,0,1,192,3907,1,1
1000,6,0,1,179,980,0,0
1008,5,0,1,181,2452,0,0
1005,1,0,2,82,629,1,1
1015,5,0,0,92,1630,0,0
1002,17,0,2,179,3697,0,1
1019,1,0,1,175,3431,0,1
1003,17,0,2,4,3675,0,1
1018,14,0,0,135,3930,1,1
1002,18,0,0,109,2766,0,0
1018,1,0,1,163,4370,0,1
1019,19,0,1,48,4781,0,1
1006,5,0,3,73,116,0,0
1019,0,0,1,72,4957,0,1
1008,23,0,1,116,2004,1,0
1000,14,1,0,173,693,0,1
1007,22,0,2,81,3163,0,1
1006,9,0,1,81,1106,0,0
1017,18,0,3,113,3009,0,1
1007,16,0,1,96,2162,0,0
1000,4,0,0,72,154,0,1
1010,3,0,0,147,3700,0,1
1017,9,0,1,63,4411,0,1
1009,23,0,1,38,3787,0,1
1002,16,0,0,67,1065,0,0
1006,9,0,0,187,4201,0,1
1015,16,0,4,69,1914,0,0
1015,19,0,1,13,1217,1,0
1019,23,0,1,175,2402,0,0
1016,4,0,1,189,1773,1,1
1001,1,0,1,31,1961,0,1
1000,5,0,1,114,2781,0,0
1015,20,0,1,22,4805,1,1
1011,1,0,4,93,4747,0,1
1004,12,0,1,171,2872,1,0
1004,10,0,0,67,661,0,0
1008,10,0,1,54,2636,0,0
1008,15,0,2,138,2330,0,0
1002,10,0,3,42,3955,0,1
1018,18,0,0,64,2451,0,0
1015,14,1,1,126,1133,0,1
1015,22,0,2,21,700,0,0
1002,22,1,0,194,2039,0,1
1019,15,0,0,169,4648,0,1
1000,10,0,1,152,4501,0,1
1019,21,0,0,35,4558,1,1
1010,15,1,0,184,2180,0,1
1016,7,0,2,30,2839,1,0
1007,3,0,0,57,874,1,1
1003,7,0,1,47,84,0,0
1005,3,0,1,163,1423,0,1
1007,23,0,0,19,2676,0,0
1019,2,0,0,114,3181,0,1
1002,2,0,2,8,4317,0,1
1015,17,0,0,26,3976,0,1
1002,18,1,0,113,1392,0,1
1017,18,1,1,71,3219,0,1
1013,20,0,2,30,4208,0,1
1017,4,0,0,135,615,0,1
1001,17,1,0,67,2972,0,1
